year;month;day;hour;hmix
2017;10;01;01;79.63
2017;10;01;02;79.63
2017;10;01;03;79.63
2017;10;01;04;207.13
2017;10;01;05;207.13
2017;10;01;06;207.13
2017;10;01;07;74.82
2017;10;01;08;347.73
2017;10;01;09;541.55
2017;10;01;10;741.29
2017;10;01;11;923.68
2017;10;01;12;1087.20
2017;10;01;13;1214.59
2017;10;01;14;1301.04
2017;10;01;15;1340.90
2017;10;01;16;1344.84
2017;10;01;17;1309.30
2017;10;01;18;68.90
2017;10;01;19;50.49
2017;10;01;20;50.49
2017;10;01;21;50.49
2017;10;01;22;50.58
2017;10;01;23;50.58
2017;10;02;00;50.58
2017;10;02;01;53.30
2017;10;02;02;53.30
2017;10;02;03;53.30
2017;10;02;04;51.40
2017;10;02;05;51.40
2017;10;02;06;51.40
2017;10;02;07;50.02
2017;10;02;08;201.67
2017;10;02;09;445.96
2017;10;02;10;695.60
2017;10;02;11;920.89
2017;10;02;12;1063.26
2017;10;02;13;1151.85
2017;10;02;14;1220.10
2017;10;02;15;1257.00
2017;10;02;16;1265.19
2017;10;02;17;1209.43
2017;10;02;18;50.04
2017;10;02;19;53.88
2017;10;02;20;53.88
2017;10;02;21;53.88
2017;10;02;22;50.00
2017;10;02;23;50.00
2017;10;03;00;50.00
2017;10;03;01;53.30
2017;10;03;02;53.30
2017;10;03;03;53.30
2017;10;03;04;51.40
2017;10;03;05;51.40
2017;10;03;06;51.40
2017;10;03;07;50.02
2017;10;03;08;198.48
2017;10;03;09;442.26
2017;10;03;10;688.99
2017;10;03;11;918.53
2017;10;03;12;1061.52
2017;10;03;13;1148.40
2017;10;03;14;1215.41
2017;10;03;15;1251.26
2017;10;03;16;1258.34
2017;10;03;17;1200.70
2017;10;03;18;50.04
2017;10;03;19;53.88
2017;10;03;20;53.88
2017;10;03;21;53.88
2017;10;03;22;50.00
2017;10;03;23;50.00
2017;10;04;00;50.00
2017;10;04;01;56.12
2017;10;04;02;56.12
2017;10;04;03;56.12
2017;10;04;04;60.35
2017;10;04;05;60.35
2017;10;04;06;60.35
2017;10;04;07;56.74
2017;10;04;08;191.60
2017;10;04;09;433.45
2017;10;04;10;719.52
2017;10;04;11;1066.46
2017;10;04;12;1486.14
2017;10;04;13;1626.01
2017;10;04;14;1665.86
2017;10;04;15;1675.36
2017;10;04;16;1659.44
2017;10;04;17;1612.02
2017;10;04;18;50.00
2017;10;04;19;50.91
2017;10;04;20;50.91
2017;10;04;21;50.91
2017;10;04;22;51.56
2017;10;04;23;51.56
2017;10;05;00;51.56
2017;10;05;01;50.28
2017;10;05;02;50.28
2017;10;05;03;50.28
2017;10;05;04;50.00
2017;10;05;05;50.00
2017;10;05;06;50.00
2017;10;05;07;50.09
2017;10;05;08;209.66
2017;10;05;09;424.64
2017;10;05;10;646.36
2017;10;05;11;833.70
2017;10;05;12;939.19
2017;10;05;13;994.63
2017;10;05;14;1033.03
2017;10;05;15;1059.68
2017;10;05;16;1064.40
2017;10;05;17;983.39
2017;10;05;18;51.96
2017;10;05;19;118.39
2017;10;05;20;118.39
2017;10;05;21;118.39
2017;10;05;22;104.05
2017;10;05;23;104.05
2017;10;06;00;104.05
2017;10;06;01;72.42
2017;10;06;02;72.42
2017;10;06;03;72.42
2017;10;06;04;52.80
2017;10;06;05;52.80
2017;10;06;06;52.80
2017;10;06;07;83.11
2017;10;06;08;250.20
2017;10;06;09;336.49
2017;10;06;10;508.65
2017;10;06;11;749.44
2017;10;06;12;1018.77
2017;10;06;13;1226.83
2017;10;06;14;1365.28
2017;10;06;15;1544.57
2017;10;06;16;1573.70
2017;10;06;17;1451.14
2017;10;06;18;200.11
2017;10;06;19;52.33
2017;10;06;20;52.33
2017;10;06;21;52.33
2017;10;06;22;82.11
2017;10;06;23;82.11
2017;10;07;00;82.11
2017;10;07;01;70.23
2017;10;07;02;70.23
2017;10;07;03;70.23
2017;10;07;04;142.92
2017;10;07;05;142.92
2017;10;07;06;142.92
2017;10;07;07;96.30
2017;10;07;08;199.57
2017;10;07;09;312.47
2017;10;07;10;435.24
2017;10;07;11;583.67
2017;10;07;12;773.71
2017;10;07;13;992.23
2017;10;07;14;1144.47
2017;10;07;15;1206.97
2017;10;07;16;1217.85
2017;10;07;17;1100.73
2017;10;07;18;100.33
2017;10;07;19;53.34
2017;10;07;20;53.34
2017;10;07;21;53.34
2017;10;07;22;70.07
2017;10;07;23;70.07
2017;10;08;00;70.07
2017;10;08;01;102.13
2017;10;08;02;102.13
2017;10;08;03;102.13
2017;10;08;04;58.87
2017;10;08;05;58.87
2017;10;08;06;58.87
2017;10;08;07;53.84
2017;10;08;08;211.00
2017;10;08;09;456.42
2017;10;08;10;697.24
2017;10;08;11;870.68
2017;10;08;12;995.72
2017;10;08;13;1094.42
2017;10;08;14;1164.48
2017;10;08;15;1195.23
2017;10;08;16;1198.35
2017;10;08;17;1161.20
2017;10;08;18;50.00
2017;10;08;19;52.65
2017;10;08;20;52.65
2017;10;08;21;52.65
2017;10;08;22;53.71
2017;10;08;23;53.71
2017;10;09;00;53.71
2017;10;09;01;92.02
2017;10;09;02;92.02
